iter	Passed	Remaining
677	16146	19576
678	16170	19552
679	16192	19525
680	16213	19499
681	16237	19475
682	16259	19449
683	16280	19421
684	16303	19398
685	16326	19373
686	16348	19347
687	16372	19323
688	16395	19298
689	16416	19271
690	16439	19246
691	16460	19219
692	16487	19200
693	16513	19178
694	16535	19152
695	16557	19126
696	16582	19104
697	16604	19078
698	16627	19053
699	16647	19025
700	16673	19004
701	16696	18979
702	16718	18953
703	16742	18929
704	16764	18904
705	16786	18879
706	16809	18854
707	16831	18828
708	16854	18803
709	16877	18778
710	16899	18753
711	16919	18725
712	16942	18701
713	16964	18675
714	16986	18649
715	17010	18626
716	17034	18602
717	17055	18576
718	17083	18556
719	17109	18535
720	17133	18511
721	17153	18484
722	17177	18460
723	17200	18435
724	17223	18411
725	17248	18388
726	17273	18365
727	17294	18339
728	17318	18315
729	17340	18291
730	17364	18267
731	17391	18247
732	17425	18233
733	17448	18209
734	17469	18182
735	17490	18155
736	17511	18129
737	17533	18103
738	17556	18079
739	17578	18053
740	17602	18029
741	17621	18001
742	17641	17974
743	17665	17950
744	17692	17930
745	17717	17907
746	17740	17882
747	17762	17857
748	17783	17831
749	17807	17807
750	17829	17782
751	17851	17756
752	17873	17731
753	17893	17703
754	17914	17677
755	17937	17652
756	17959	17627
757	17980	17601
758	18005	17578
759	18027	17553
760	18057	17535
761	18091	17521
762	18121	17503
763	18145	17480
764	18167	17454
765	18188	17428
766	18210	17402
767	18234	17379
768	18260	17358
769	18282	17332
770	18305	17307
771	18326	17282
772	18349	17257
773	18372	17232
774	18393	17207
775	18417	17183
776	18439	17158
777	18461	17132
778	18484	17107
779	18507	17083
780	18527	17056
781	18550	17032
782	18570	17005
783	18591	16978
784	18611	16951
785	18634	16927
786	18655	16901
787	18676	16875
788	18699	16851
789	18721	16825
790	18744	16801
791	18766	16775
792	18792	16754
793	18818	16733
794	18847	16714
795	18873	16692
796	18896	16667
797	18917	16641
798	18942	16618
799	18964	16593
800	18986	16568
801	19009	16544
802	19032	16519
803	19055	16495
804	19079	16472
805	19103	16448
806	19124	16422
807	19145	16396
808	19168	16372
809	19192	16349
810	19211	16321
811	19233	16296
812	19254	16270
813	19277	16246
814	19301	16222
815	19325	16198
816	19349	16175
817	19369	16149
818	19391	16124
819	19414	16099
820	19438	16076
821	19461	16052
822	19486	16029
823	19508	16004
824	19529	15978
825	19552	15954
826	19573	15928
827	19596	15904
828	19618	15879
829	19642	15855
830	19664	15831
831	19687	15806
832	19711	15783
833	19733	15758
834	19757	15734
835	19780	15710
836	19806	15688
837	19830	15665
838	19850	15639
839	19874	15615
840	19897	15591
841	19921	15568
842	19949	15547
843	19974	15525
844	19997	15501
845	20021	15477
846	20044	15453
847	20068	15430
848	20092	15406
849	20113	15380
850	20134	15354
851	20157	15330
852	20181	15307
853	20208	15286
854	20227	15259
855	20250	15235
856	20272	15210
857	20293	15184
858	20312	15157
859	20336	15133
860	20361	15111
861	20384	15087
862	20407	15062
863	20429	15038
864	20449	15012
865	20468	14984
866	20489	14959
867	20513	14935
868	20534	14910
869	20556	14885
870	20577	14860
871	20600	14835
872	20623	14811
873	20644	14786
874	20661	14758
875	20685	14734
876	20711	14712
877	20738	14691
878	20764	14669
879	20792	14649
880	20815	14624
881	20838	14601
882	20861	14577
883	20885	14553
884	20906	14528
885	20928	14503
886	20952	14479
887	20973	14454
888	20997	14431
889	21020	14407
890	21042	14382
891	21065	14358
892	21087	14333
893	21109	14308
894	21131	14284
895	21151	14258
896	21173	14233
897	21196	14209
898	21219	14185
899	21238	14158
900	21260	14134
901	21281	14108
902	21300	14082
903	21323	14058
904	21343	14032
905	21366	14008
906	21389	13984
907	21412	13960
908	21436	13937
909	21456	13911
910	21479	13887
911	21503	13863
912	21526	13839
913	21548	13815
914	21569	13790
915	21592	13766
916	21613	13741
917	21636	13717
918	21659	13693
919	21682	13669
920	21706	13646
921	21731	13623
922	21754	13599
923	21777	13575
924	21799	13551
925	21822	13527
926	21844	13502
927	21867	13478
928	21890	13454
929	21914	13431
930	21937	13407
931	21960	13383
932	21982	13359
933	22006	13335
